Order_ID,Customer_ID,Book_ID,Order_Date,Quantity,Total_Amount,Name,Email,Phone,City,Country,Title,Author,Genre,Published_Year,Price,Stock,Year,Price_Category,Month
1,84,169,2023-05-26,8,188.56,Gary Blair,leonardtaylor@bowers.net,1234567974,Lake Paul,Armenia,Networked tertiary approach,Margaret Moore,Biography,1963,23.57,45,2023,Medium,5
2,137,301,2023-01-23,10,216.6,Steven Miller,tsummers@yahoo.com,1234568027,North Keith,Papua New Guinea,Polarized high-level installation,John Davidson,Fantasy,1975,21.66,77,2023,Medium,1
3,216,261,2024-05-27,6,85.5,Phillip Allen,brianwatkins@gmail.com,1234568106,Kelseyfort,Micronesia,Intuitive content-based toolset,Christopher Fuentes,Science Fiction,1964,14.25,52,2024,Cheap,5
4,433,343,2023-11-25,7,301.21,Corey Wells,swagner@robertson.net,1234568323,East David,Zambia,De-engineered grid-enabled secured line,Marissa Smith,Mystery,2006,43.03,86,2023,Expensive,11
5,14,431,2023-07-26,7,136.36,John Wood,johnsonalexander@gmail.com,1234567904,Richardsonville,New Caledonia,Synergized fresh-thinking monitoring,Christopher Dixon,Romance,1965,19.48,31,2023,Medium,7
6,439,119,2024-10-11,5,249.4,Shane Chang,melanie56@fleming.com,1234568329,Ramosstad,Liechtenstein,Switchable modular moratorium,Tonya Saunders,Romance,2010,49.88,76,2024,Expensive,10
7,195,467,2023-10-23,6,82.92,Dominique Turner,tracy39@smith-miller.com,1234568085,Rogersborough,Djibouti,Function-based dedicated frame,Larry Hunt,Romance,1979,13.82,96,2023,Cheap,10
8,32,159,2024-05-07,4,144.84,Jeffrey Shannon,nmcmillan@smith.com,1234567922,New Carlosbury,Malta,Proactive 5thgeneration middleware,Brandon Foster,Biography,1999,36.21,49,2024,Expensive,5
9,109,407,2024-01-04,9,379.71,Jacob Kelley,qbarber@shelton.org,1234567999,Ravenberg,Macao,Mandatory executive groupware,Michelle Bell,Romance,1947,42.19,50,2024,Expensive,1
10,94,122,2024-07-09,4,123.0,Mr. David Cox,millermichael@gmail.com,1234567984,West Anthony,New Zealand,Profound leadingedge capability,Mary French,Mystery,1992,30.75,17,2024,Medium,7
11,131,206,2023-10-16,1,38.01,Peter Smith,wmorales@miller.com,1234568021,North Carolyn,Jersey,Digitized executive flexibility,Lisa Lopez,Non-Fiction,1960,38.01,84,2023,Expensive,10
12,454,3,2024-06-17,2,31.5,April Anderson,calexander@yahoo.com,1234568344,Micheleborough,Guyana,Streamlined coherent initiative,Derrick Howard,Non-Fiction,1913,15.75,27,2024,Medium,6
13,420,180,2023-06-08,5,125.45,Andrew Murray,donaldjohnson@yahoo.com,1234568310,North Joseph,Western Sahara,Front-line discrete complexity,David Rodriguez,Science Fiction,2001,25.09,14,2023,Medium,6
14,454,319,2023-08-24,2,85.22,April Anderson,calexander@yahoo.com,1234568344,Micheleborough,Guyana,Distributed disintermediate groupware,Michael Mckenzie,Fantasy,1964,42.61,50,2023,Expensive,8
15,127,479,2023-01-10,6,229.62,Joseph Mcmahon,sharon15@stone.com,1234568017,Lake Mary,Reunion,Balanced grid-enabled architecture,Christian Morales,Fiction,2009,38.27,60,2023,Expensive,1
16,412,196,2023-10-06,8,53.52,Kevin Woodward,graysarah@yahoo.com,1234568302,Lake Karen,Hungary,Phased context-sensitive task-force,Rachel Gibbs,Science Fiction,1934,6.69,24,2023,Cheap,10
17,462,481,2023-03-20,5,52.75,James Brewer,ebrown@ewing-warner.com,1234568352,Chandlerberg,Mongolia,Automated transitional hardware,Nicole Smith,Fiction,1980,10.55,77,2023,Cheap,3
18,377,101,2024-08-07,4,193.96,Darrell Khan,anna59@hall.com,1234568267,Austinfort,Montenegro,Multi-tiered context-sensitive hub,Amanda Knight,Mystery,1923,48.49,40,2024,Expensive,8
19,496,60,2023-11-17,9,316.26,Michelle Myers,patricia02@vega-callahan.com,1234568386,Davidview,Netherlands Antilles,Robust eco-centric capacity,Brian Haney,Biography,1990,35.14,0,2023,Expensive,11
20,195,67,2023-07-14,1,10.23,Dominique Turner,tracy39@smith-miller.com,1234568085,Rogersborough,Djibouti,Grass-roots zero tolerance archive,Michelle Taylor,Biography,1966,10.23,25,2023,Cheap,7
21,356,287,2024-12-05,3,120.57,Mary Winters,evansandrew@walls.com,1234568246,Evanshaven,Bahamas,Exclusive encompassing pricing structure,Cynthia Diaz,Science Fiction,1994,40.19,32,2024,Expensive,12
22,177,427,2024-06-10,3,54.0,Sarah Powell,bryan44@yahoo.com,1234568067,Kaylatown,Guyana,Ergonomic zero-defect software,Denise Mclaughlin,Fantasy,1965,18.0,46,2024,Medium,6
